List	Term	Proposed Definition 1	Proposed Definition 2
Core	Accuracy	Broad sense: how “close to the mark” an Estimator is.	Narrow sense: the expected or realized extent of Surprise on an estimation, usually about Sense States reflecting theRecognition density
Core	Action	Broad sense: The dynamics, mechanisms, and measurements of Behavior	Narrow sense: The sequence of Active States enacted by an Agent via Policy selection from Affordance
Core	Action planning	The selection of an Affordance based upon Inference of Expected Free Energy	
Core	Action prediction	Inference on current and future Expectation of Action	
Core	Active Inference	Active Inference is a Process Theory related to Free Energy Principle .	
Core	Active States	In the Friston Blanket formalism, the Blanket States are the Sense States (incoming Sensory input) and Active States (outgoing influence of Policy selection )	
Core	Affordance	Options or capacities for Action by an Agent	
Core	Agency	The ability of an Agent to engage in Action in their Niche and enact Goal-driven selection or Policy selection based upon Preference	
Core	Agent	Entity as modeled by Active Inference , with Internal State separated from External States by Blanket States	
Core	Ambiguity	Broad sense: Extent to which stimuli have multiple plausible interpretations, requiring priors &/or Action for disambiguation	Narrow sense: Specific model parameter used to model Uncertainty, usually about sensory Perception .
Core	Attention	Broad sense: Information Geometrys that is available for Generative Process to engage for Active Inference Lab	Narrow sense: Attention modulates the the confidence on the Precision of Sense States, reflecting Sensory input
Core	Bayesian Inference	As opposed to frequentist analysis, Bayesian Inference uses a specified Prior or Empirical prior to Update the distributional Posterior	
Core	Behavior	The sequence of Action that an Agent is observed to enact.	
Core	Belief	Broad sense: Felt sense by an Agent of something being true, or confidence it is the case.	Narrow sense: the State of a Random variable in a Bayesian Inference scheme.
Core	Belief updating	Belief updating is changes in a Bayesian Inference Belief through time.	
Core	Blanket States	Set of states in the Markov Blanket Partition that make Internal State and External States have Conditional Probability that are independent.	
Core	Cognition	An Agent modifying the weights of its Internal State for the purpose of Action planning and/or Belief updating . (This is a @realistCounterpart of Goal-driven selection .)	
Core	Complexity	Broad sense:	Narrow sense:
Core	Cue	a Stimulus , event, object , or Guidance signal that serves to guide Behavior , such as a retrieval cue, or that acts as a @Signal to the presentation of another stimulus, event, or object, such as an unconditioned stimulus or reinforcement. (dictionary.apa.org)	
Core	Culture	Culture is the Niche for social Agent, that structures their Regime of Attention	
Core	Data	Data are a set of values of qualitative or quantitative variables about one or more Agent or object .	
Core	Ensemble	Group of more than one Agent.	
Core	Epistemic value	is the value of Information gain or Expectation of reduction in Uncertainty about a State with respect to a Policy, used in Policy selection	
Core	Evidence	Data as recognized and interpreted by Generative model of Agent	
Core	Expectation	Within a Bayesian Inference framework, Expectation is an Estimator about future timesteps	
Core	Expected Free Energy	Measure for performing Inference on Action over a given time horizon (Policy selection , Action and Planning as Divergence Minimization ).	The two components of Expected Free Energy are the imperative to satisfy Preferences, and the penalty for failing to minimize Expectation of Surprisal.
Core	External States	States with Conditional density independent from Internal State, conditioned on Blanket States.	
Core	Free Energy	Free Energy is an Information Theoretic quantity that constitutes an upper bound on Surprisal .	
Core	Free Energy Principle	A generalization of Predictive Coding (PC) according to which organisms minimize an upper bound on the Entropy of Sensory input (or sensory signals) (the Free Energy). Under specific assumptions, Free Energy translates toPrediction error .	
Core	Friston Blanket	Markov Blanket with partitioned Active States and Sense States .	
Core	Generalized Free Energy	Past Variational Free Energy plus future Expected Free Energy (each totaled over Policy).	
Core	Generative model	A formalism that describes the mapping between Hidden states, and Expectations of Action prediction , Sensory outcome .	Recognition Model Update Internal State parameter that correspond to External States (including Hidden states causes of environment states), Blanket States , and Internal State (meta-modeling). In contrast, Generative model take those same Internal State parameter Estimator and emit expected or plausible observations.
Core	Generative Process	Underlying @dynamical process in the Niche giving rise to Agent Observation and @agent Action prediction	Enactive ecological process using morphological computing processes where the Niche Regime of Attention @morphogenesis and generative model interact to create an embodied learning dyanamic.
Core	Hidden states	Unobserved variable in Bayesian Inference , can reflect a Latent cause .	
Core	Hierarchical Model	A hierarchy of Estimators, which operate at different spatiotemporal timescales (so they track features at different scales); all carrying out Predictive Processing	
Core	Inference	Process of reaching a (local or global) conclusion within a Model, for example with Bayesian Inference.	
Core	Information	Measured in bits, the reduction of Uncertainty on a Belief distribution of some type. Usually Syntactic (Shannon) but also can be Semantic (e.g. Bayesian ).	
Core	Information Geometry	A Statistical manifold each of whose points corresponds to a Probability distribution (e.g. the expectation and variance of a normal density).	
Core	Internal State	States with Conditional density independent from External States , conditioned on Blanket States.	
Core	Learning	Broad sense: Process of an Agent engaged in Updates to Cognition (and possibly) Behavior.	Narrow sense: Process of Bayesian Inference where Generative model parameters undergo Belief updating
Core	Living system	Agent engaged in Autopoiesis	
Core	Markov Blanket	Markov Partitioning Model of System, reflecting Agent as delineated from the Niche via an Interface. The Markov Blanket Blanket States reflect the State(s) upon which Internal State and External States are conditionally independent.	
Core	Markov Decision Process	Bayesian Inference Model where Agent Generative model can implement Policy selection on Affordances reflected by Active States, while other features of the Generative Process are outside the Control (states) of the Agent .	
Core	Multi-scale system	Realism framing of Hierarchical Model	
Core	Narrative	Information used by Agent in context of entity- and event-oriented Cognition, specifically Hierarchical Model (Hierarchically Mechanistic Mind ).	
Core	Niche	Ecology System constituting the Generative Process (as Partitioned from the Agent who instantiates a Generative model ).	
Core	Non-Equilibrium Steady State	Technically, a Non-Equilibrium Steady State requires a solution to the Fokker Planck equation (i.e., density dynamics). A nonequilibrium steady-state solution entails solenoidal (i.e., conservative or divergence free) dynamics that break detailed balance (and underwrite stochastic chaos ). In other words, The dynamics of systems at Non-Equilibrium Steady State are not time reversible (unlike equilibrium steady states, in which the flow is entirely dissipative).	Generally, a Non-Equilibrium Steady State refers to a System with dynamics that are unchanging, or at Stationarity in some State.
Core	Novelty	The Internal State assumed by an Agent‘s epistemic Affordance, when unable to immediately (e.g. locally) resolve Uncertainty about the contingencies — i.e. the opportunity to resolve Uncertainty about ‘what would happen if I did that?’ (The Precision of this assumed Internal State has a distinctive, e.g. multimodal, distribution, i.e. exhibits Ambiguity .)	
